Kilometers,Color,Car Brand,Model,Price,Engine,Vehicle Age
116000,Beyaz,Fiat,Linea,475000.0,1.3,9
205000,Gri (metalik),Fiat,Linea,429999.0,1.3,13
200000,Gri,Ford,Fiesta,380000.0,1.4,12
304000,Siyah,Volkswagen,Golf,520000.0,1.6,14
241804,Gri (Gümüş),Opel,Corsa,335000.0,1.0,22
16000,Gri,Opel,Corsa,810000.0,1.2,1
268000,Gri,Volkswagen,Polo,270000.0,1.6,24
32000,Gri (Gümüş),Fiat,Egea,850000.0,1.3,4
225000,Beyaz,Fiat,Linea,415000.0,1.3,11
210000,Siyah,Renault,Fluence,610000.0,1.5,10
400000,Gri,Ford,Fiesta,345000.0,1.4,14
220000,Gri,Audi,A3,560000.0,1.6,20
155000,Beyaz,Ford,Focus,620000.0,1.6,11
53510,Füme,Citroen,C-Elysee,733000.0,1.5,2
352000,Siyah,Audi,A3,420000.0,1.6,18
185000,Gri,Opel,Corsa,450000.0,1.3,17
174000,Beyaz,Renault,Fluence,625000.0,1.5,11
49800,Siyah,Opel,Astra,975000.0,1.4,4
178000,Beyaz,Toyota,Corolla,560000.0,1.33,9
190000,Lacivert,Opel,Astra,510000.0,1.3,14
246000,Gri,Volkswagen,Golf,380000.0,1.6,23
79000,Beyaz,Ford,Focus,835000.0,1.6,9
292000,Beyaz,Renault,Fluence,550000.0,1.5,9
260000,Beyaz,Fiat,Linea,522000.0,1.3,9
105000,Kırmızı,Fiat,Egea,700000.0,1.6,7
241000,Gri,Ford,Fiesta,370000.0,1.6,18
55500,Füme,Fiat,Egea,670000.0,1.4,5
87500,Siyah,Renault,Fluence,900000.0,1.5,8
313000,Beyaz,Opel,Astra,348000.0,1.6,24
277000,Siyah,Audi,A3,357000.0,1.8,25
191655,Beyaz,Volkswagen,Polo,499900.0,1.4,16
112000,Beyaz,Fiat,Egea,600000.0,1.3,5
242000,Gri,Ford,Fiesta,229999.0,1.25,23
56000,Beyaz,Fiat,Egea,674000.0,1.4,4
176000,Gri,Fiat,Linea,495000.0,1.3,10
72300,Gri,Ford,Fiesta,565000.0,1.25,12
138800,Gri (metalik),Renault,Clio,450000.0,1.5,14
300000,Beyaz,Ford,Focus,579000.0,1.6,12
250000,Gri,Ford,Focus,425000.0,1.6,16
118300,Beyaz,Fiat,Egea,630000.0,1.3,9
222000,Siyah,Citroen,C4,395000.0,1.6,13
217000,Beyaz,Fiat,Linea,420000.0,1.3,11
230000,Gri,Ford,Fiesta,380000.0,1.4,20
229374,Beyaz,Fiat,Linea,365000.0,1.3,11
277457,Lacivert,Opel,Corsa,375000.0,1.3,20
114000,Beyaz,Citroen,C3,600000.0,1.2,7
187600,Beyaz,Fiat,Linea,475000.0,1.3,12
217000,Füme,Renault,Fluence,566000.0,1.5,12
149000,Beyaz,Volkswagen,Golf,990000.0,1.6,6
170000,Beyaz,Fiat,Linea,460000.0,1.3,11
48000,Beyaz,Renault,Clio,660000.0,0.9,5
125000,Gri,Ford,Fiesta,395000.0,1.6,15
280000,Gri (Gümüş),Ford,Focus,575000.0,1.6,10
228000,Gri (Gümüş),Fiat,Linea,415000.0,1.3,13
135000,Gri (metalik),Fiat,Linea,480000.0,1.3,12
208500,Beyaz,Volkswagen,Polo,625000.0,1.6,13
70000,Beyaz,Ford,Fiesta,675000.0,1.5,9
218000,Siyah,Renault,Fluence,624000.0,1.5,13
72535,Beyaz,Volkswagen,Polo,725000.0,1.4,8
228000,Beyaz,Fiat,Linea,380000.0,1.3,14
255000,Mavi,Ford,Focus,530000.0,1.6,16
200300,Beyaz,Citroen,C4,494500.0,1.4,12
152000,Gri,Audi,A3,959750.0,1.6,12
140000,Beyaz,Fiat,Linea,467000.0,1.3,10
230000,Beyaz,Audi,A3,650000.0,1.4,15
48000,Füme,Volkswagen,Polo,735000.0,1.0,3
85000,Beyaz,Volkswagen,Golf,955000.0,1.2,8
79000,Beyaz,Citroen,C-Elysee,650000.0,1.6,7
70000,Beyaz,Fiat,Egea,657900.0,1.3,5
202000,Beyaz,Opel,Corsa,470000.0,1.3,10
181000,Beyaz,Fiat,Linea,325000.0,1.3,9
233500,Gri (Gümüş),Renault,Clio,335000.0,1.5,20
326000,Kırmızı,Ford,Fiesta,379000.0,1.4,19
102000,Kırmızı,Renault,Clio,695000.0,1.5,7
248000,Kırmızı,Volkswagen,Polo,330000.0,1.6,25
270000,Mavi,Citroen,C4,375000.0,1.6,19
99000,Beyaz,Volkswagen,Golf,835000.0,1.6,8
140000,Beyaz,Toyota,Corolla,700000.0,1.33,9
178000,Beyaz,Ford,Fiesta,555000.0,1.4,12
268000,Beyaz,Fiat,Linea,425000.0,1.3,10
342000,Gri (Gümüş),Opel,Corsa,370000.0,1.3,19
215000,Füme,Ford,Focus,535000.0,1.6,12
3700,Beyaz,Renault,Fluence,600000.0,1.5,12
215000,Gri (Gümüş),Toyota,Corolla,470000.0,1.4,15
136000,Beyaz,Volkswagen,Golf,670000.0,1.6,12
288000,Bordo,Toyota,Corolla,340000.0,1.6,28
209500,Beyaz,Citroen,C-Elysee,475000.0,1.6,10
103000,Beyaz,Fiat,Egea,710000.0,1.6,8
65000,Beyaz,Opel,Corsa,699500.0,1.4,9
87000,Beyaz,Renault,Clio,745000.0,1.0,3
219000,Beyaz,Ford,Fiesta,490000.0,1.25,13
245000,Beyaz,Volkswagen,Polo,300000.0,1.6,26
273000,Gri (Gümüş),Opel,Corsa,360000.0,1.3,12
245000,Gri,Citroen,C4,955000.0,1.6,7
312000,Beyaz,Ford,Focus,435000.0,1.6,17
142500,Gri (metalik),Opel,Astra,610000.0,1.6,11
56000,Gri (titanyum),Toyota,Corolla,935000.0,1.6,6
133000,Beyaz,Opel,Corsa,509000.0,1.2,13
305000,Gri,Renault,Clio,265000.0,1.4,24
120000,Kırmızı,Audi,A3,925000.0,1.6,11
215000,Gri (metalik),Opel,Corsa,399000.0,1.4,20
96000,Beyaz,Citroen,C-Elysee,620000.0,1.6,7
181000,Beyaz,Volkswagen,Golf,790000.0,1.2,9
158000,Beyaz,Citroen,C-Elysee,580000.0,1.6,8
119000,Beyaz,Fiat,Egea,640000.0,1.4,8
46162,Beyaz,Toyota,Corolla,740000.0,1.33,8
79000,Mavi,Volkswagen,Polo,695000.0,1.4,9
200000,Beyaz,Fiat,Egea,535000.0,1.3,7
160000,Gri (Gümüş),Renault,Fluence,700000.0,1.5,8
190000,Siyah,Opel,Astra,405000.0,1.4,20
267000,Siyah,Ford,Focus,520000.0,1.6,13
108000,Kırmızı,Ford,Fiesta,585000.0,1.4,12
235000,Gri,Citroen,C4,460000.0,1.6,15
134000,Gri (Gümüş),Opel,Corsa,305000.0,1.4,24
217000,Kırmızı,Volkswagen,Polo,382500.0,1.4,24
62000,Beyaz,Toyota,Corolla,1035000.0,1.8,4
144500,Beyaz,Ford,Focus,999000.0,1.5,5
28000,Beyaz,Renault,Clio,730000.0,0.9,4
272000,Kırmızı,Toyota,Corolla,400000.0,1.6,26
280000,Gri,Toyota,Corolla,385000.0,1.6,24
200000,Gri (titanyum),Ford,Fiesta,390000.0,1.4,16
317000,Siyah,Toyota,Corolla,525000.0,1.4,13
215000,Şampanya,Toyota,Corolla,435000.0,1.4,17
150000,Beyaz,Fiat,Linea,468500.0,1.3,11
141000,Gri (Gümüş),Toyota,Corolla,618000.0,1.6,14
274000,Mavi,Toyota,Corolla,330000.0,1.3,25
270000,Gri (Gümüş),Renault,Fluence,469000.0,1.5,12
327000,Beyaz,Renault,Fluence,515000.0,1.5,9
252000,Beyaz,Renault,Fluence,465000.0,1.5,11
19961,Kırmızı,Renault,Clio,690000.0,1.0,1
329250,Beyaz,Renault,Fluence,549000.0,1.5,10
144000,Füme,Toyota,Corolla,720000.0,1.4,13
268000,Gri (Gümüş),Volkswagen,Polo,327000.0,1.4,23
190000,Siyah,Volkswagen,Golf,515000.0,1.4,13
130000,Beyaz,Fiat,Egea,598000.0,1.3,4
95000,Beyaz,Toyota,Corolla,650000.0,1.33,8
320000,Turuncu,Volkswagen,Golf,390000.0,1.6,25
79000,Beyaz,Fiat,Egea,748000.0,1.6,8
35000,Beyaz,Toyota,Corolla,985000.0,1.6,6
307000,Siyah,Citroen,C5,420000.0,1.6,15
125000,Gri,Opel,Astra,815000.0,1.6,10
142000,Füme,Ford,Focus,650000.0,1.6,13
114600,Gri (Gümüş),Volkswagen,Golf,575000.0,1.6,20
155000,Beyaz,Fiat,Linea,475000.0,1.3,12
149000,Siyah,Ford,Focus,907900.0,1.5,5
128000,Mavi (metalik),Opel,Corsa,615000.0,1.2,13
287000,Mavi (metalik),Volkswagen,Polo,385000.0,1.4,18
99200,Gri (metalik),Ford,Fiesta,730000.0,1.0,9
258000,Gri (Gümüş),Renault,Clio,435000.0,1.5,18
90000,Kırmızı,Opel,Corsa,530000.0,1.2,11
272000,Gri (Gümüş),Fiat,Linea,435000.0,1.3,13
171000,Beyaz,Citroen,C5,698000.0,1.6,12
170000,Gri,Ford,Focus,600000.0,1.6,12
181000,Gri (metalik),Toyota,Corolla,605000.0,1.4,13
171400,Füme,Toyota,Corolla,720000.0,1.4,12
38865,Beyaz,Citroen,C-Elysee,695000.0,1.5,3
123000,Gri (Gümüş),Ford,Fiesta,729000.0,1.0,6
274000,Füme,Ford,Fiesta,450000.0,1.4,15
191000,Bordo,Fiat,Linea,420000.0,1.4,16
215000,Gri (Gümüş),Opel,Corsa,389000.0,1.3,17
198500,Beyaz,Renault,Fluence,600000.0,1.5,9
181000,Beyaz,Fiat,Linea,322222.0,1.6,13
66000,Bej,Fiat,Egea,680000.0,1.4,4
186400,Gri (Gümüş),Toyota,Corolla,400000.0,1.6,28
306000,Gri,Ford,Fiesta,370000.0,1.4,12
177777,Diğer,Citroen,C4,350000.0,1.4,18
269000,Gri (Gümüş),Renault,Clio,325000.0,1.4,23
74000,Beyaz,Volkswagen,Golf,860000.0,1.6,11
81096,Beyaz,Toyota,Corolla,729750.0,1.33,8
150000,Füme,Ford,Fiesta,580000.0,1.4,14
255000,Beyaz,Toyota,Corolla,345000.0,1.6,30
204000,Mavi,Ford,Fiesta,330000.0,1.4,19
36000,Gri (metalik),Opel,Corsa,675000.0,1.2,4
342000,Gri,Toyota,Corolla,285000.0,1.6,0
287000,Gri (Gümüş),Toyota,Corolla,440000.0,1.4,17
163000,Füme,Fiat,Linea,495000.0,1.6,11
206000,Beyaz,Opel,Corsa,480000.0,1.3,11
220000,Yeşil (metalik),Volkswagen,Golf,560000.0,1.6,19
220000,Lacivert,Citroen,Xsara,200000.0,1.8,26
203000,Gri (metalik),Fiat,Linea,420000.0,1.3,11
37200,Beyaz,Fiat,Egea,727500.0,1.3,2
206000,Beyaz,Volkswagen,Polo,700000.0,1.2,9
156000,Beyaz,Opel,Astra,555000.0,1.6,11
203000,Gri (Gümüş),Opel,Corsa,318000.0,1.4,24
138750,Siyah,Citroen,C4,620000.0,1.6,12
205000,Beyaz,Renault,Fluence,630000.0,1.5,9
107500,Kırmızı,Volkswagen,Polo,690000.0,1.4,12
15000,Beyaz,Fiat,Egea,890000.0,1.3,1
235000,Kırmızı,Opel,Astra,205000.0,1.6,0
215000,Gri (Gümüş),Toyota,Corolla,538000.0,1.6,18
320000,Beyaz,Renault,Fluence,399000.0,1.5,12
126000,Beyaz,Volkswagen,Golf,839900.0,1.2,8
67329,Beyaz,Renault,Clio,745000.0,1.5,6
289000,Gri,Renault,Clio,299000.0,1.4,19
150000,Kahverengi,Opel,Astra,621000.0,1.6,10
215000,Beyaz,Volkswagen,Polo,385000.0,1.4,20
58999,Beyaz,Citroen,C-Elysee,850000.0,1.5,4
219000,Gri (titanyum),Ford,Fiesta,450000.0,1.4,15
150000,Gri,Opel,Astra,685000.0,1.6,7
238000,Gri (Gümüş),Volkswagen,Polo,350000.0,1.4,16
267000,Beyaz,Audi,A3,690000.0,1.6,13
295000,Gri,Ford,Focus,410000.0,1.6,17
178000,Bordo,Fiat,Linea,450000.0,1.3,13
236000,Beyaz,Ford,Focus,470000.0,1.6,19
250000,Kırmızı,Opel,Corsa,312500.0,1.4,20
168000,Mavi (metalik),Opel,Astra,450000.0,1.6,25
265000,Gri,Renault,Fluence,490000.0,1.5,13
200000,Beyaz,Ford,Focus,660000.0,1.6,10
181000,Beyaz,Fiat,Linea,319000.0,1.4,9
172000,Siyah,Volkswagen,Golf,470000.0,1.6,20
105600,Beyaz,Citroen,C-Elysee,540000.0,1.2,11
210000,Beyaz,Citroen,C-Elysee,530000.0,1.6,9
197000,Beyaz,Volkswagen,Polo,540000.0,1.2,11
183000,Siyah,Audi,A3,612500.0,1.6,16
89000,Kırmızı,Renault,Clio,624750.0,1.2,5
234000,Sarı,Opel,Corsa,280000.0,1.4,27
156000,Siyah,Volkswagen,Polo,590000.0,1.6,12
316000,Gri (Gümüş),Renault,Fluence,549000.0,1.5,10
36000,Beyaz,Fiat,Egea,775000.0,1.3,4
231000,Gri,Renault,Clio,315000.0,1.4,23
282000,Beyaz,Citroen,C-Elysee,519000.0,1.6,10
245000,Beyaz,Ford,Focus,650000.0,1.6,11
133336,Beyaz,Citroen,C-Elysee,622500.0,1.5,4
181000,Mavi,Fiat,Egea,690000.0,1.4,6
114580,Beyaz,Citroen,C-Elysee,610000.0,1.6,7
160000,Beyaz,Citroen,C-Elysee,485500.0,1.6,11
224000,Beyaz,Volkswagen,Polo,499000.0,1.0,9
125000,Beyaz,Opel,Corsa,680000.0,1.4,9
334800,Beyaz,Opel,Corsa,400000.0,1.0,20
189000,Füme,Ford,Fiesta,499000.0,1.4,12
150000,Beyaz,Audi,A3,620000.0,1.6,16
216500,Beyaz,Renault,Clio,445000.0,1.5,13
346000,Beyaz,Fiat,Linea,385000.0,1.3,11
165000,Beyaz,Fiat,Egea,595000.0,1.3,7
262000,Beyaz,Renault,Fluence,547000.0,1.5,11
127000,Beyaz,Fiat,Egea,565000.0,1.3,6
163000,Beyaz,Renault,Clio,559000.0,1.5,7
259050,Beyaz,Volkswagen,Golf,785000.0,1.6,11
191000,Füme,Citroen,C4,600000.0,1.6,14
115000,Beyaz,Renault,Clio,530000.0,1.2,11
199000,Gri (Gümüş),Ford,Focus,510000.0,1.6,16
301843,Beyaz,Renault,Fluence,635000.0,1.5,9
220000,Kırmızı,Renault,Clio,390000.0,1.2,19
129000,Lacivert,Volkswagen,Golf,837500.0,1.6,12
277000,Gri (metalik),Toyota,Corolla,525000.0,1.4,16
6001,Mavi (metalik),Renault,Clio,929000.0,1.0,2
180000,Beyaz,Ford,Fiesta,600000.0,1.5,9
25000,Beyaz,Toyota,Corolla,1050000.0,1.6,5
109424,Beyaz,Citroen,C3,535000.0,1.4,11
305000,Beyaz,Renault,Fluence,551000.0,1.5,9
40600,Mavi,Ford,Focus,845000.0,1.5,9
70000,Beyaz,Renault,Clio,725000.0,1.5,6
195000,Gri,Opel,Astra,599900.0,1.3,12
113000,Sarı,Opel,Corsa,630000.0,1.3,9
302000,Kahverengi,Toyota,Corolla,340000.0,1.6,22
276000,Beyaz,Opel,Astra,345000.0,1.4,18
250000,Gri (Gümüş),Renault,Clio,235000.0,1.6,24
165000,Gri,Opel,Corsa,450000.0,1.3,16
250000,Beyaz,Ford,Fiesta,417750.0,1.4,16
169000,Beyaz,Opel,Corsa,435000.0,1.3,19
268500,Beyaz,Citroen,C5,637500.0,1.6,11
251000,Bordo,Ford,Focus,430000.0,1.6,20
16000,Mavi (metalik),Renault,Clio,840000.0,1.0,1
112000,Gri,Citroen,C-Elysee,575000.0,1.6,10
98000,Beyaz,Fiat,Linea,460000.0,1.3,12
165000,Kırmızı,Toyota,Corolla,539000.0,1.6,15
193000,Siyah,Opel,Astra,525000.0,1.4,13
284000,Kırmızı,Renault,Clio,309000.0,1.4,23
173000,Siyah,Volkswagen,Golf,845000.0,1.4,11
227000,Füme,Fiat,Linea,399999.0,1.6,14
188500,Beyaz,Ford,Focus,659000.0,1.6,10
162000,Beyaz,Opel,Astra,640000.0,1.3,13
159100,Kahverengi,Toyota,Corolla,750000.0,1.6,9
184000,Gri,Ford,Focus,500000.0,1.6,19
175000,Beyaz,Opel,Astra,690000.0,1.4,11
185000,Gri (metalik),Opel,Astra,408000.0,1.3,15
147400,Gri,Fiat,Linea,495000.0,1.3,11
199900,Siyah,Toyota,Corolla,535000.0,1.4,14
346000,Gri (Gümüş),Renault,Fluence,365000.0,1.5,13
170700,Gri,Opel,Corsa,455000.0,1.2,20
157000,Beyaz,Fiat,Linea,455000.0,1.3,9
120000,Beyaz,Ford,Focus,742000.0,1.6,10
209000,Beyaz,Ford,Focus,592000.0,1.6,13
105000,Beyaz,Ford,Focus,810000.0,1.6,10
125000,Bej,Volkswagen,Golf,989000.0,1.6,8
90000,Gri (Gümüş),Opel,Corsa,610000.0,1.3,11
142500,Beyaz,Volkswagen,Golf,599000.0,1.4,13
165000,Beyaz,Renault,Clio,600000.0,1.5,7
246000,Gri,Ford,Focus,500000.0,1.6,13
239000,Beyaz,Volkswagen,Polo,465000.0,1.2,12
350000,Beyaz,Ford,Focus,549000.0,1.6,12
280000,Gri (Gümüş),Fiat,Linea,465000.0,1.3,16
89500,Beyaz,Fiat,Linea,545000.0,1.3,10
162000,Beyaz,Fiat,Egea,595000.0,1.4,8
240000,Gri (Gümüş),Ford,Fiesta,490000.0,1.4,13
130000,Beyaz,Citroen,C-Elysee,655000.0,1.5,4
198000,Beyaz,Fiat,Linea,479000.0,1.3,11
122000,Beyaz,Fiat,Egea,740000.0,1.6,7
169000,Beyaz,Renault,Fluence,715000.0,1.5,8
187000,Beyaz,Renault,Clio,480000.0,1.5,12
105000,Beyaz,Ford,Focus,730000.0,1.6,11
231000,Yeşil (metalik),Volkswagen,Golf,330000.0,1.6,23
218000,Füme,Renault,Fluence,601000.0,1.5,12
161000,Mavi,Ford,Fiesta,400000.0,1.4,18
206000,Beyaz,Renault,Fluence,695000.0,1.5,10
181890,Gri (metalik),Fiat,Linea,500000.0,1.3,12
50500,Beyaz,Opel,Astra,835000.0,1.4,9
322000,Beyaz,Citroen,C4,555000.0,1.6,12
178000,Beyaz,Ford,Fiesta,430000.0,1.4,19
142000,Beyaz,Fiat,Egea,640000.0,1.6,5
70000,Füme,Renault,Clio,635000.0,1.2,6
127000,Beyaz,Fiat,Egea,610000.0,1.3,9
116000,Beyaz,Toyota,Corolla,678000.0,1.33,8
155415,Beyaz,Ford,Focus,895000.0,1.5,4
235000,Kırmızı,Ford,Fiesta,480000.0,1.4,12
304000,Gri (Gümüş),Ford,Fiesta,395000.0,1.4,14
41000,Füme,Fiat,Egea,590000.0,1.4,4
273000,Gri (Gümüş),Renault,Clio,310950.0,1.4,24
380000,Beyaz,Citroen,C4,510000.0,1.6,15
180000,Beyaz,Toyota,Corolla,810000.0,1.6,8
348000,Mavi,Toyota,Corolla,270000.0,1.6,0
218000,Beyaz,Fiat,Linea,420000.0,1.3,11
295000,Beyaz,Volkswagen,Polo,295000.0,1.6,28
155000,Beyaz,Fiat,Egea,576500.0,1.3,7
305000,Kırmızı,Opel,Astra,310000.0,1.6,26
124000,Beyaz,Ford,Fiesta,650000.0,1.0,10
193000,Gri (Gümüş),Fiat,Linea,317000.0,1.3,13
46000,Füme,Ford,Focus,910000.0,1.5,5
6500,Beyaz,Renault,Clio,837500.0,1.0,2
181000,Beyaz,Fiat,Linea,310000.0,1.3,13
219000,Gri (Gümüş),Renault,Clio,312750.0,1.4,24
280600,Gri (titanyum),Ford,Focus,415000.0,1.6,16
6001,Gri,Renault,Clio,900000.0,1.0,1
82100,Sarı,Renault,Clio,457500.0,1.2,12
263000,Füme,Renault,Fluence,570000.0,1.5,12
274000,Mavi,Ford,Fiesta,250000.0,1.25,24
201000,Beyaz,Volkswagen,Golf,730000.0,1.6,11
198000,Kırmızı,Opel,Corsa,400000.0,1.2,20
128500,Beyaz,Renault,Clio,625000.0,1.5,7
180000,Beyaz,Volkswagen,Golf,750000.0,1.6,8
119000,Beyaz,Fiat,Linea,560000.0,1.3,7
51000,Beyaz,Renault,Fluence,728000.0,1.5,13
175000,Gri (Gümüş),Renault,Fluence,698000.0,1.5,9
196700,Beyaz,Volkswagen,Golf,735000.0,1.6,10
191000,Beyaz,Audi,A3,825000.0,1.6,12
234600,Beyaz,Opel,Corsa,400000.0,1.3,17
209000,Beyaz,Volkswagen,Polo,630000.0,1.4,10
193000,Beyaz,Ford,Fiesta,550000.0,1.5,9
340000,Gri,Ford,Fiesta,289900.0,1.4,17
315000,Gri (Gümüş),Opel,Astra,352000.0,1.6,23
249000,Yeşil,Opel,Astra,395000.0,1.6,24
135069,Siyah,Opel,Corsa,535000.0,1.4,15
241000,Gri (metalik),Volkswagen,Golf,375000.0,1.6,26
192000,Siyah,Volkswagen,Golf,369000.0,1.6,23
120000,Beyaz,Toyota,Corolla,856000.0,1.4,8
179000,Beyaz,Ford,Focus,665000.0,1.6,11
349000,Kırmızı,Volkswagen,Golf,390000.0,1.6,24
48000,Mavi (metalik),Fiat,Egea,720000.0,1.4,4
332000,Gri (Gümüş),Opel,Corsa,293500.0,1.2,23
270000,Gri,Renault,Clio,310000.0,1.5,15
31000,Beyaz,Fiat,Egea,732750.0,1.3,2
182000,Beyaz,Volkswagen,Polo,425000.0,1.4,20
265000,Turkuaz,Ford,Focus,408000.0,1.6,23
221271,Gri (Gümüş),Renault,Fluence,515000.0,1.5,11
186000,Gri,Opel,Astra,560000.0,1.3,13
138000,Gri (Gümüş),Renault,Clio,575000.0,1.5,12
244000,Yeşil,Volkswagen,Polo,260000.0,1.6,26
23507,Beyaz,Fiat,Egea,843000.0,1.3,2
194000,Beyaz,Opel,Astra,655000.0,1.6,14
169000,Gri (Gümüş),Renault,Fluence,710000.0,1.5,8
181000,Beyaz,Fiat,Linea,315000.0,1.3,10
26500,Beyaz,Fiat,Egea,625000.0,1.4,6
345000,Yeşil (metalik),Ford,Focus,330000.0,1.6,19
118000,Beyaz,Volkswagen,Golf,750000.0,1.6,11
218000,Gri (Gümüş),Toyota,Corolla,360000.0,1.6,23
173000,Beyaz,Toyota,Corolla,705000.0,1.33,9
259000,Beyaz,Opel,Astra,330000.0,1.6,18
96000,Beyaz,Fiat,Egea,829750.0,1.6,4
128000,Beyaz,Volkswagen,Golf,810000.0,1.6,9
203000,Beyaz,Fiat,Linea,430000.0,1.3,9
268000,Bordo,Volkswagen,Polo,260000.0,1.6,26
71000,Beyaz,Opel,Astra,770000.0,1.4,4
177000,Mavi,Audi,A3,420000.0,1.6,24
28000,Kırmızı,Fiat,Egea,733000.0,1.4,3
235500,Gri,Renault,Clio,315000.0,1.6,24
87000,Siyah,Opel,Astra,650000.0,1.6,12
336611,Yeşil,Volkswagen,Polo,232000.0,1.6,26
162500,Siyah,Renault,Clio,621000.0,1.5,10
130000,Gri (Gümüş),Renault,Fluence,500000.0,1.5,12
187400,Gri,Renault,Fluence,510000.0,1.5,12
104500,Gri (metalik),Toyota,Corolla,588550.0,1.4,14
125000,Beyaz,Fiat,Egea,725000.0,1.6,6
62000,Beyaz,Citroen,C1,674750.0,1.0,9
90510,Beyaz,Fiat,Egea,670000.0,1.3,6
262000,Lacivert,Volkswagen,Polo,217500.0,1.6,27
280000,Kırmızı,Volkswagen,Polo,290000.0,1.6,26
195000,Kırmızı,Opel,Astra,480000.0,1.6,20
119000,Beyaz,Renault,Clio,705000.0,1.5,6
315000,Siyah,Volkswagen,Polo,358000.0,1.4,17
305000,Beyaz,Toyota,Corolla,298000.0,1.6,29
106000,Beyaz,Volkswagen,Polo,675000.0,1.6,10
235000,Beyaz,Volkswagen,Polo,290000.0,1.6,26
370000,Beyaz,Audi,A4,981000.0,2.0,15
180000,Kırmızı,Volkswagen,Golf,675000.0,1.4,13
227800,Gri (metalik),Renault,Fluence,595000.0,1.5,12
60000,Füme,Ford,Fiesta,655000.0,1.4,10
125000,Beyaz,Volkswagen,Polo,810000.0,1.6,6
58000,Beyaz,Fiat,Linea,610000.0,1.3,11
136000,Beyaz,Volkswagen,Golf,850000.0,1.2,11
82000,Beyaz,Renault,Clio,645750.0,0.9,4
207000,Beyaz,Fiat,Linea,455000.0,1.3,10
299000,Gri,Ford,Focus,495000.0,1.6,13
192000,Gri (Gümüş),Ford,Fiesta,380000.0,1.4,20
156500,Beyaz,Renault,Clio,540000.0,1.5,9
